Brand_Reg,Model_No,screensize,Screen_Tech,Avg_mode_power,Star2,Screen_Size_Inch,Advertised_Size_Int,Advertised_Size_Category
Hisense,75U6K series,189.274,LCD (LED),154.66,5,74.51732283,75,75.0 inch
Hisense,65U6KAU,163.896,LCD (LED),140.56,4,64.52598425,65,65.0 inch
Hisense,65U6KNZ,163.896,LCD (LED),140.56,4,64.52598425,65,65.0 inch
Hisense,65U6K series,163.896,LCD (LED),140.56,4,64.52598425,65,65.0 inch
Hisense,55U6KAU,138.783,LCD (LED),85.64,5,54.63897638,55,55.0 inch
Hisense,55U6KNZ,138.783,LCD (LED),85.64,5,54.63897638,55,55.0 inch
Hisense,55U6K series,138.783,LCD (LED),85.64,5,54.63897638,55,55.0 inch
Konka,UDE50QR314FANT,125.731,LCD (LED),72.19,5,49.5003937,50,50.0 inch
Konka,UDE50QR315ANT,125.731,LCD (LED),72.19,5,49.5003937,50,50.0 inch
Toshiba,85Z670MP,214.783,LCD (LED),240.73,4,84.56023622,85,85.0 inch
Konka,KDE32RR314FANT-5,80.039,LCD (LED),31.51,5,31.51141732,32,32.0 inch
Konka,KDE32RR315ANT,80.039,LCD (LED),31.51,5,31.51141732,32,32.0 inch
Kogan,KALED40R93STA,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40R93STB,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40R93STC,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40R93STD,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40R93STE,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Konka,UDE55QR314FANT,138.783,LCD (LED),86.23,5,54.63897638,55,55.0 inch
Konka,UDE55QR315ANT,138.783,LCD (LED),86.23,5,54.63897638,55,55.0 inch
Konka,KDE40RR314FANT,100.332,LCD (LED),44.91,5,39.5007874,40,40.0 inch
Konka,KDE40RR315ANT,100.332,LCD (LED),44.91,5,39.5007874,40,40.0 inch
Kogan,KALED60U93NA,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Kogan,KALED60U93NB,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Kogan,*60*,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Kogan,KALED60U93NC,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Kogan,KALED60U93ND,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Kogan,D60S218-U-T2-W,152.663,LCD,110.3,5,60.10354331,61,61.0 inch
Philips,65PUT7428/79,163.878,LCD (LED),101.3,5.5,64.51889764,65,65.0 inch
